make_year,engine_capacity(CC),km_driven,price
2016.0,1197.0,72615.0,412000
2017.0,1598.0,100001.0,546000
2014.0,998.0,71297.0,265000
2019.0,1497.0,85336.0,1032000
2020.0,1199.0,58047.0,590000
2013.0,1197.0,103571.0,257000
2014.0,1497.0,47445.0,472000
2021.0,1997.0,31332.0,1318000
2018.0,999.0,96717.0,488000
2017.0,1197.0,42752.0,567000
2021.0,1197.0,41436.0,591000
2012.0,1197.0,51629.0,266000
2020.0,1197.0,61172.0,541000
2020.0,999.0,52957.0,397000
2016.0,998.0,65734.0,386000
2017.0,1591.0,97913.0,676000
2015.0,1197.0,59365.0,372000
2021.0,1330.0,50108.0,929000
2019.0,2179.0,45984.0,1011000
2022.0,1199.0,10819.0,708000
2015.0,1497.0,89726.0,523000
2012.0,998.0,32697.0,216000
2019.0,1086.0,61839.0,397000
2018.0,1199.0,49616.0,553000
2015.0,1373.0,119079.0,427000
2018.0,1591.0,66936.0,786000
2017.0,998.0,98904.0,273000
2022.0,1956.0,20858.0,1715000
2013.0,1591.0,75331.0,378000
2020.0,1199.0,53413.0,505000
2017.0,1497.0,74671.0,832000
2018.0,1373.0,119997.0,643000
2022.0,998.0,21688.0,405000
2017.0,1197.0,31714.0,485000
2017.0,1373.0,43537.0,647000
2022.0,1197.0,17745.0,525000
2021.0,1199.0,29667.0,508000
2018.0,1197.0,41163.0,382000
2017.0,1199.0,59577.0,416000
2019.0,1198.0,30616.0,411000
2020.0,1582.0,60592.0,993000
2017.0,1197.0,47472.0,520000
2014.0,998.0,102506.0,291000
2020.0,1199.0,62836.0,763000
2016.0,1197.0,74240.0,448000
2019.0,1451.0,8797.0,1338000
2021.0,1199.0,30141.0,786000
2018.0,1197.0,76745.0,590000
2020.0,999.0,35932.0,408000
2022.0,1498.0,9308.0,1144000
2016.0,1499.0,92575.0,517000
2023.0,1199.0,13137.0,917000
2020.0,1197.0,27579.0,670000
2019.0,1199.0,56996.0,581000
2019.0,1591.0,69534.0,1045000
2020.0,1197.0,20631.0,531000
2016.0,1197.0,25133.0,424000
2016.0,1497.0,61033.0,572000
2018.0,1197.0,70318.0,509000
2013.0,1198.0,107855.0,249000
2015.0,1198.0,44993.0,356000
2020.0,1493.0,48995.0,1060000
2022.0,1199.0,20770.0,778000
2022.0,1199.0,19968.0,626000
2016.0,1373.0,60440.0,478000
2020.0,1199.0,73158.0,479000
2021.0,1197.0,19115.0,610000
2019.0,999.0,34562.0,364000
2020.0,1197.0,60937.0,589000
2020.0,1498.0,45972.0,692000
2020.0,998.0,30782.0,369000
2013.0,1591.0,108787.0,374000
2016.0,1497.0,71930.0,570000
2021.0,1197.0,25742.0,476000
2023.0,1197.0,28162.0,614000
2018.0,1197.0,27356.0,569000
2021.0,1493.0,66666.0,1492000
2017.0,999.0,47819.0,292000
2011.0,1197.0,28799.0,222000
2011.0,998.0,93282.0,163000
2018.0,799.0,30684.0,231000
2022.0,1197.0,13045.0,1127000
2019.0,1396.0,51919.0,815000
2021.0,1451.0,38816.0,1503000
2017.0,1497.0,65434.0,787000
2022.0,999.0,20338.0,548000
2020.0,1197.0,46628.0,522000
2022.0,1497.0,19703.0,1053000
2019.0,1498.0,71456.0,695000
2017.0,999.0,41308.0,285000
